question,answer,wrong_answer,A,B,C,D,TFQs,LFGQs,MCQs,3_MC,2_MC
在SLE中，阳性率最高的抗体是,抗核抗体,"['抗Sm抗体', '抗SS-A抗体', '抗磷脂抗体']",抗Sm抗体, 抗SS-A抗体, 抗磷脂抗体,抗核抗体,在SLE中，阳性率最高的抗体是抗核抗体吗？回答'是'或者'不是'即可。,在SLE中，阳性率最高的抗体是什么？回答一句话即可。,请选择一个正确选项。在SLE中，阳性率最高的抗体是：A 抗Sm抗体 ，B  抗SS-A抗体 ，C  抗磷脂抗体，D 抗核抗体。只能选择一个选项，禁止解释。,请选择一个正确选项。在SLE中，阳性率最高的抗体是：A 抗Sm抗体 ，B  抗SS-A抗体 ，C 抗核抗体。只能选择一个选项，禁止解释。,请选择一个正确选项。在SLE中，阳性率最高的抗体是：A 抗Sm抗体 ，B 抗核抗体。只能选择一个选项，禁止解释。
鉴别尿路感染与尿道综合征的最根本特点是,真性细菌尿的有无,"['尿红细胞的多少', '尿白细胞管型的有无', '尿路刺激症状的有无']",尿红细胞的多少, 尿白细胞管型的有无, 尿路刺激症状的有无,真性细菌尿的有无,鉴别尿路感染与尿道综合征的最根本特点是真性细菌尿的有无？回答'是'或者'不是'即可。,鉴别尿路感染与尿道综合征的最根本特点是什么？回答一句话即可。,请选择一个正确选项。鉴别尿路感染与尿道综合征的最根本特点是：A 尿红细胞的多少 ，B  尿白细胞管型的有无 ，C  尿路刺激症状的有无，D 真性细菌尿的有无。只能选择一个选项，禁止解释。,请选择一个正确选项。鉴别尿路感染与尿道综合征的最根本特点是：A 尿红细胞的多少 ，B  尿白细胞管型的有无 ，C 真性细菌尿的有无。只能选择一个选项，禁止解释。,请选择一个正确选项。鉴别尿路感染与尿道综合征的最根本特点是：A 尿红细胞的多少 ，B 真性细菌尿的有无。只能选择一个选项，禁止解释。
滴虫性阴道炎典型的白带性状是,稀薄脓性泡沫状白带,"['泔水状恶臭白带', '白色均质腥臭白带', '大量血性白带']",泔水状恶臭白带, 白色均质腥臭白带, 大量血性白带,稀薄脓性泡沫状白带,滴虫性阴道炎的白带质地是稀薄脓性泡沫状吗？回答'是'或者'不是'即可。,滴虫性阴道炎典型的白带性状是什么？回答一句话即可。,请选择一个正确选项。滴虫性阴道炎典型的白带性状是：A 泔水状恶臭白带 ，B  白色均质腥臭白带 ，C  大量血性白带，D 稀薄脓性泡沫状白带。只能选择一个选项，禁止解释。,请选择一个正确选项。滴虫性阴道炎典型的白带性状是：A 泔水状恶臭白带 ，B  白色均质腥臭白带 ，C 稀薄脓性泡沫状白带。只能选择一个选项，禁止解释。,请选择一个正确选项。滴虫性阴道炎典型的白带性状是：A 泔水状恶臭白带 ，B 稀薄脓性泡沫状白带。只能选择一个选项，禁止解释。
孕妇尿中与胎儿、胎盘功能关系密切的激素是,雌三醇,"['雌酮', '雌二醇', '孕酮']",雌酮, 雌二醇, 孕酮,雌三醇,雌三醇在孕妇尿中与胎儿、胎盘功能的关系密切吗？回答'是'或者'不是'即可。,孕妇尿中与胎儿、胎盘功能关系密切的激素是什么？回答一句话即可。,请选择一个正确选项。孕妇尿中与胎儿、胎盘功能关系密切的激素是：A 雌酮 ，B  雌二醇 ，C  孕酮，D 雌三醇。只能选择一个选项，禁止解释。,请选择一个正确选项。孕妇尿中与胎儿、胎盘功能关系密切的激素是：A 雌酮 ，B  雌二醇 ，C 雌三醇。只能选择一个选项，禁止解释。,请选择一个正确选项。孕妇尿中与胎儿、胎盘功能关系密切的激素是：A 雌酮 ，B 雌三醇。只能选择一个选项，禁止解释。
能够产生抗体的结构是,浆细胞,"['未活化的B细胞', 'T细胞', 'B细胞']",未活化的B细胞, T细胞, B细胞,浆细胞,浆细胞能够产生抗体吗？回答'是'或者'不是'即可。,能够产生抗体的结构是什么？回答一句话即可。,请选择一个正确选项。能够产生抗体的结构是：A 未活化的B细胞 ，B  T细胞 ，C  B细胞，D 浆细胞。只能选择一个选项，禁止解释。,请选择一个正确选项。能够产生抗体的结构是：A 未活化的B细胞 ，B  T细胞 ，C 浆细胞。只能选择一个选项，禁止解释。,请选择一个正确选项。能够产生抗体的结构是：A 未活化的B细胞 ，B 浆细胞。只能选择一个选项，禁止解释。
青春期无排卵型功血的治疗原则是,止血，调整周期,"['促进内膜剥落、调整月经周期', '止血，促进排卵', '减少出血，促进卵巢排卵']",促进内膜剥落、调整月经周期, 止血，促进排卵, 减少出血，促进卵巢排卵,止血，调整周期,青春期无排卵型功血的治疗原则是止血，调整周期吗？回答'是'或者'不是'即可。,青春期无排卵型功血的治疗原则是什么？回答一句话即可。,请选择一个正确选项。青春期无排卵型功血的治疗原则是：A 促进内膜剥落、调整月经周期 ，B  止血，促进排卵 ，C  减少出血，促进卵巢排卵，D 止血，调整周期。只能选择一个选项，禁止解释。,请选择一个正确选项。青春期无排卵型功血的治疗原则是：A 促进内膜剥落、调整月经周期 ，B  止血，促进排卵 ，C 止血，调整周期。只能选择一个选项，禁止解释。,请选择一个正确选项。青春期无排卵型功血的治疗原则是：A 促进内膜剥落、调整月经周期 ，B 止血，调整周期。只能选择一个选项，禁止解释。
新生儿期亦可发生的疾病是,水痘,"['麻疹', '猩红热', '丘疹样荨麻疹']",麻疹, 猩红热, 丘疹样荨麻疹,水痘,新生儿期亦可发生的疾病是水痘吗？回答'是'或者'不是'即可。,新生儿期亦可发生的疾病是什么？回答一句话即可。,请选择一个正确选项。新生儿期亦可发生的疾病是：A 麻疹 ，B  猩红热 ，C  丘疹样荨麻疹，D 水痘。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿期亦可发生的疾病是：A 麻疹 ，B  猩红热 ，C 水痘。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿期亦可发生的疾病是：A 麻疹 ，B 水痘。只能选择一个选项，禁止解释。
子宫内膜异位症最常见的发病部位是,卵巢,"['膀胱', '输卵管', '阴道']",膀胱, 输卵管, 阴道,卵巢,子宫内膜异位症最常见的发病部位是卵巢吗？回答'是'或者'不是'即可。,子宫内膜异位症最常见的发病部位是什么？回答一句话即可。,请选择一个正确选项。子宫内膜异位症最常见的发病部位是：A 膀胱 ，B  输卵管 ，C  阴道，D 卵巢。只能选择一个选项，禁止解释。,请选择一个正确选项。子宫内膜异位症最常见的发病部位是：A 膀胱 ，B  输卵管 ，C 卵巢。只能选择一个选项，禁止解释。,请选择一个正确选项。子宫内膜异位症最常见的发病部位是：A 膀胱 ，B 卵巢。只能选择一个选项，禁止解释。
新生儿期计划免疫应接种的疫苗是,卡介苗与乙肝疫苗,"['卡介苗与百白破三联混合疫苗', '乙肝疫苗与麻疹疫苗', '脊髓灰质炎糖丸与麻疹疫苗']",卡介苗与百白破三联混合疫苗, 乙肝疫苗与麻疹疫苗, 脊髓灰质炎糖丸与麻疹疫苗,卡介苗与乙肝疫苗,新生儿期计划免疫应接种的疫苗是卡介苗与乙肝疫苗吗？回答'是'或者'不是'即可。,新生儿期计划免疫应接种的疫苗是什么？回答一句话即可。,请选择一个正确选项。新生儿期计划免疫应接种的疫苗是：A 卡介苗与百白破三联混合疫苗 ，B  乙肝疫苗与麻疹疫苗 ，C  脊髓灰质炎糖丸与麻疹疫苗，D 卡介苗与乙肝疫苗。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿期计划免疫应接种的疫苗是：A 卡介苗与百白破三联混合疫苗 ，B  乙肝疫苗与麻疹疫苗 ，C 卡介苗与乙肝疫苗。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿期计划免疫应接种的疫苗是：A 卡介苗与百白破三联混合疫苗 ，B 卡介苗与乙肝疫苗。只能选择一个选项，禁止解释。
1个月新生儿每日所需8%的糖牛奶量为,300ml,"['700ml', '660ml', '500ml']",700ml, 660ml, 500ml,300ml,1个月新生儿每日所需8%的糖牛奶量为300ml吗？回答'是'或者'不是'即可。,1个月新生儿每日所需8%的糖牛奶量为什么？回答一句话即可。,请选择一个正确选项。1个月新生儿每日所需8%的糖牛奶量为：A 700ml ，B  660ml ，C  500ml，D 300ml。只能选择一个选项，禁止解释。,请选择一个正确选项。1个月新生儿每日所需8%的糖牛奶量为：A 700ml ，B  660ml ，C 300ml。只能选择一个选项，禁止解释。,请选择一个正确选项。1个月新生儿每日所需8%的糖牛奶量为：A 700ml ，B 300ml。只能选择一个选项，禁止解释。
产后出血最常见的原因是,子宫收缩乏力,"['胎盘植入', '血小板减少', '胎盘粘连']",胎盘植入, 血小板减少, 胎盘粘连,子宫收缩乏力,产后出血最常见的原因是子宫收缩乏力吗？回答'是'或者'不是'即可。,产后出血最常见的原因是什么？回答一句话即可。,请选择一个正确选项。产后出血最常见的原因是：A 胎盘植入 ，B  血小板减少 ，C  胎盘粘连，D 子宫收缩乏力。只能选择一个选项，禁止解释。,请选择一个正确选项。产后出血最常见的原因是：A 胎盘植入 ，B  血小板减少 ，C 子宫收缩乏力。只能选择一个选项，禁止解释。,请选择一个正确选项。产后出血最常见的原因是：A 胎盘植入 ，B 子宫收缩乏力。只能选择一个选项，禁止解释。
胎儿能否衔接入盆的关键径线是,入口前后径,"['坐骨棘间径', '坐骨结节间径', '中骨盆前后径']",坐骨棘间径, 坐骨结节间径, 中骨盆前后径,入口前后径,胎儿能否衔接入盆的关键径线是入口前后径吗？回答'是'或者'不是'即可。,胎儿能否衔接入盆的关键径线是什么？回答一句话即可。,请选择一个正确选项。胎儿能否衔接入盆的关键径线是：A 坐骨棘间径 ，B  坐骨结节间径 ，C  中骨盆前后径，D 入口前后径。只能选择一个选项，禁止解释。,请选择一个正确选项。胎儿能否衔接入盆的关键径线是：A 坐骨棘间径 ，B  坐骨结节间径 ，C 入口前后径。只能选择一个选项，禁止解释。,请选择一个正确选项。胎儿能否衔接入盆的关键径线是：A 坐骨棘间径 ，B 入口前后径。只能选择一个选项，禁止解释。
1岁以内婴儿每天每公斤所需总能量约为,110kal,"['70kal', '90kal', '150kal']",70kal, 90kal, 150kal,110kal,1岁以内婴儿每天每公斤所需总能量约为110kal吗？回答'是'或者'不是'即可。,1岁以内婴儿每天每公斤所需总能量约为什么？回答一句话即可。,请选择一个正确选项。1岁以内婴儿每天每公斤所需总能量约为：A 70kal ，B  90kal ，C  150kal，D 110kal。只能选择一个选项，禁止解释。,请选择一个正确选项。1岁以内婴儿每天每公斤所需总能量约为：A 70kal ，B  90kal ，C 110kal。只能选择一个选项，禁止解释。,请选择一个正确选项。1岁以内婴儿每天每公斤所需总能量约为：A 70kal ，B 110kal。只能选择一个选项，禁止解释。
产后感染引起新生儿败血症最常见的病原菌是,金黄色葡萄球菌,"['B群链球菌', '铜绿假单胞菌', '肠杆菌']",B群链球菌, 铜绿假单胞菌, 肠杆菌,金黄色葡萄球菌,金黄色葡萄球菌是产后感染引起新生儿败血症最常见的病原菌吗？回答'是'或者'不是'即可。,产后感染引起新生儿败血症最常见的病原菌是什么？回答一句话即可。,请选择一个正确选项。产后感染引起新生儿败血症最常见的病原菌是：A B群链球菌 ，B  铜绿假单胞菌 ，C  肠杆菌，D 金黄色葡萄球菌。只能选择一个选项，禁止解释。,请选择一个正确选项。产后感染引起新生儿败血症最常见的病原菌是：A B群链球菌 ，B  铜绿假单胞菌 ，C 金黄色葡萄球菌。只能选择一个选项，禁止解释。,请选择一个正确选项。产后感染引起新生儿败血症最常见的病原菌是：A B群链球菌 ，B 金黄色葡萄球菌。只能选择一个选项，禁止解释。
切除肿瘤后胸水、腹水可自行消失的卵巢肿瘤是,纤维瘤,"['库肯勃瘤', '无性细胞瘤', '畸胎瘤']",库肯勃瘤, 无性细胞瘤, 畸胎瘤,纤维瘤,切除肿瘤后胸水、腹水可自行消失的卵巢肿瘤是纤维瘤吗？回答'是'或者'不是'即可。,切除肿瘤后胸水、腹水可自行消失的卵巢肿瘤是什么？回答一句话即可。,请选择一个正确选项。切除肿瘤后胸水、腹水可自行消失的卵巢肿瘤是：A 库肯勃瘤 ，B  无性细胞瘤 ，C  畸胎瘤，D 纤维瘤。只能选择一个选项，禁止解释。,请选择一个正确选项。切除肿瘤后胸水、腹水可自行消失的卵巢肿瘤是：A 库肯勃瘤 ，B  无性细胞瘤 ，C 纤维瘤。只能选择一个选项，禁止解释。,请选择一个正确选项。切除肿瘤后胸水、腹水可自行消失的卵巢肿瘤是：A 库肯勃瘤 ，B 纤维瘤。只能选择一个选项，禁止解释。
诊断子宫内膜癌最可靠的方法是,分段诊刮,"['细胞学检查', 'B超检查', '淋巴造影']",细胞学检查, B超检查, 淋巴造影,分段诊刮,诊断子宫内膜癌最可靠的方法是分段诊刮吗？回答'是'或者'不是'即可。,诊断子宫内膜癌最可靠的方法是什么？回答一句话即可。,请选择一个正确选项。诊断子宫内膜癌最可靠的方法是：A 细胞学检查 ，B  B超检查 ，C  淋巴造影，D 分段诊刮。只能选择一个选项，禁止解释。,请选择一个正确选项。诊断子宫内膜癌最可靠的方法是：A 细胞学检查 ，B  B超检查 ，C 分段诊刮。只能选择一个选项，禁止解释。,请选择一个正确选项。诊断子宫内膜癌最可靠的方法是：A 细胞学检查 ，B 分段诊刮。只能选择一个选项，禁止解释。
抗体分子的抗原结合部位是,Fab段,"['铰链区', 'Fc段', '重链C末端']",铰链区, Fc段, 重链C末端,Fab段,抗体分子的抗原结合部位是Fab段吗？回答'是'或者'不是'即可。,抗体分子的抗原结合部位是什么？回答一句话即可。,请选择一个正确选项。抗体分子的抗原结合部位是：A 铰链区 ，B  Fc段 ，C  重链C末端，D Fab段。只能选择一个选项，禁止解释。,请选择一个正确选项。抗体分子的抗原结合部位是：A 铰链区 ，B  Fc段 ，C Fab段。只能选择一个选项，禁止解释。,请选择一个正确选项。抗体分子的抗原结合部位是：A 铰链区 ，B Fab段。只能选择一个选项，禁止解释。
属于子宫内膜癌ⅡB期的是,侵犯宫颈间质,"['累及宫颈黏膜腺体', '侵犯子宫浆膜层', '盆腔淋巴结或阴道转移']",累及宫颈黏膜腺体, 侵犯子宫浆膜层, 盆腔淋巴结或阴道转移,侵犯宫颈间质,属于子宫内膜癌IIB期的宫颈间质是侵犯吗？回答'是'或者'不是'即可。,属于子宫内膜癌ⅡB期的是什么？回答一句话即可。,请选择一个正确选项。属于子宫内膜癌ⅡB期的是：A 累及宫颈黏膜腺体 ，B  侵犯子宫浆膜层 ，C  盆腔淋巴结或阴道转移，D 侵犯宫颈间质。只能选择一个选项，禁止解释。,请选择一个正确选项。属于子宫内膜癌ⅡB期的是：A 累及宫颈黏膜腺体 ，B  侵犯子宫浆膜层 ，C 侵犯宫颈间质。只能选择一个选项，禁止解释。,请选择一个正确选项。属于子宫内膜癌ⅡB期的是：A 累及宫颈黏膜腺体 ，B 侵犯宫颈间质。只能选择一个选项，禁止解释。
出生以后惟一的造血器官是,骨髓造血,"['髓外造血', '肝脾造血', '胸腺造血']",髓外造血, 肝脾造血, 胸腺造血,骨髓造血,出生以后惟一的造血器官是骨髓造血吗？回答'是'或者'不是'即可。,出生以后惟一的造血器官是什么？回答一句话即可。,请选择一个正确选项。出生以后惟一的造血器官是：A 髓外造血 ，B  肝脾造血 ，C  胸腺造血，D 骨髓造血。只能选择一个选项，禁止解释。,请选择一个正确选项。出生以后惟一的造血器官是：A 髓外造血 ，B  肝脾造血 ，C 骨髓造血。只能选择一个选项，禁止解释。,请选择一个正确选项。出生以后惟一的造血器官是：A 髓外造血 ，B 骨髓造血。只能选择一个选项，禁止解释。
子宫颈癌最常见的组织学类型是,鳞状上皮癌,"['腺癌', '实性癌', '小细胞癌']",腺癌, 实性癌, 小细胞癌,鳞状上皮癌,子宫颈癌最常见的组织学类型是鳞状上皮癌吗？回答'是'或者'不是'即可。,子宫颈癌最常见的组织学类型是什么？回答一句话即可。,请选择一个正确选项。子宫颈癌最常见的组织学类型是：A 腺癌 ，B  实性癌 ，C  小细胞癌，D 鳞状上皮癌。只能选择一个选项，禁止解释。,请选择一个正确选项。子宫颈癌最常见的组织学类型是：A 腺癌 ，B  实性癌 ，C 鳞状上皮癌。只能选择一个选项，禁止解释。,请选择一个正确选项。子宫颈癌最常见的组织学类型是：A 腺癌 ，B 鳞状上皮癌。只能选择一个选项，禁止解释。
可直接刺激B细胞合成抗体的是,TI抗原,"['内源性抗原', 'TD抗原', '超抗原']",内源性抗原, TD抗原, 超抗原,TI抗原,可直接刺激B细胞合成抗体的是TI抗原吗？回答'是'或者'不是'即可。,可直接刺激B细胞合成抗体的是什么？回答一句话即可。,请选择一个正确选项。可直接刺激B细胞合成抗体的是：A 内源性抗原 ，B  TD抗原 ，C  超抗原，D TI抗原。只能选择一个选项，禁止解释。,请选择一个正确选项。可直接刺激B细胞合成抗体的是：A 内源性抗原 ，B  TD抗原 ，C TI抗原。只能选择一个选项，禁止解释。,请选择一个正确选项。可直接刺激B细胞合成抗体的是：A 内源性抗原 ，B TI抗原。只能选择一个选项，禁止解释。
用乳胶作载体吸附抗原检测患者血清抗体的试验是,间接凝集反应,"['ELISA', '协同凝集反应', 'Coomb’s试验']",ELISA, 协同凝集反应, Coomb’s试验,间接凝集反应,用乳胶作载体吸附抗原检测患者血清抗体的试验是间接凝集反应吗？回答'是'或者'不是'即可。,用乳胶作载体吸附抗原检测患者血清抗体的试验是什么？回答一句话即可。,请选择一个正确选项。用乳胶作载体吸附抗原检测患者血清抗体的试验是：A ELISA ，B  协同凝集反应 ，C  Coomb’s试验，D 间接凝集反应。只能选择一个选项，禁止解释。,请选择一个正确选项。用乳胶作载体吸附抗原检测患者血清抗体的试验是：A ELISA ，B  协同凝集反应 ，C 间接凝集反应。只能选择一个选项，禁止解释。,请选择一个正确选项。用乳胶作载体吸附抗原检测患者血清抗体的试验是：A ELISA ，B 间接凝集反应。只能选择一个选项，禁止解释。
妊娠28周发现臀先露，应进行的处理是,等待自行转为头先露,"['针灸至阴穴', '外转胎位术', '口服松弛子宫平滑肌药物后，行外转胎位术']",针灸至阴穴, 外转胎位术, 口服松弛子宫平滑肌药物后，行外转胎位术,等待自行转为头先露,妊娠28周发现臀先露，应进行的处理是等待自行转为头先露吗？回答'是'或者'不是'即可。,妊娠28周发现臀先露，应进行的处理是什么？回答一句话即可。,请选择一个正确选项。妊娠28周发现臀先露，应进行的处理是：A 针灸至阴穴 ，B  外转胎位术 ，C  口服松弛子宫平滑肌药物后，行外转胎位术，D 等待自行转为头先露。只能选择一个选项，禁止解释。,请选择一个正确选项。妊娠28周发现臀先露，应进行的处理是：A 针灸至阴穴 ，B  外转胎位术 ，C 等待自行转为头先露。只能选择一个选项，禁止解释。,请选择一个正确选项。妊娠28周发现臀先露，应进行的处理是：A 针灸至阴穴 ，B 等待自行转为头先露。只能选择一个选项，禁止解释。
全子宫切除时无需切断的韧带是,骨盆漏斗韧带,"['子宫主韧带', '宫骶韧带', '卵巢固有韧带']",子宫主韧带, 宫骶韧带, 卵巢固有韧带,骨盆漏斗韧带,全子宫切除时无需切断的韧带是骨盆漏斗韧带吗？回答'是'或者'不是'即可。,全子宫切除时无需切断的韧带是什么？回答一句话即可。,请选择一个正确选项。全子宫切除时无需切断的韧带是：A 子宫主韧带 ，B  宫骶韧带 ，C  卵巢固有韧带，D 骨盆漏斗韧带。只能选择一个选项，禁止解释。,请选择一个正确选项。全子宫切除时无需切断的韧带是：A 子宫主韧带 ，B  宫骶韧带 ，C 骨盆漏斗韧带。只能选择一个选项，禁止解释。,请选择一个正确选项。全子宫切除时无需切断的韧带是：A 子宫主韧带 ，B 骨盆漏斗韧带。只能选择一个选项，禁止解释。
新生儿生后2～3天出现黄疸者最常见的为,生理性黄疸,"['母乳性黄疸', '新生儿肺炎', '胆道闭锁']",母乳性黄疸, 新生儿肺炎, 胆道闭锁,生理性黄疸,新生儿生后2～3天出现黄疸者最常见的为生理性黄疸吗？回答'是'或者'不是'即可。,新生儿生后2～3天出现黄疸者最常见的为什么？回答一句话即可。,请选择一个正确选项。新生儿生后2～3天出现黄疸者最常见的为：A 母乳性黄疸 ，B  新生儿肺炎 ，C  胆道闭锁，D 生理性黄疸。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿生后2～3天出现黄疸者最常见的为：A 母乳性黄疸 ，B  新生儿肺炎 ，C 生理性黄疸。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿生后2～3天出现黄疸者最常见的为：A 母乳性黄疸 ，B 生理性黄疸。只能选择一个选项，禁止解释。
初次体液免疫应答产生抗体的特点是,亲和力低,"['滴度高', '主要为IgG', '持续时间长']",滴度高, 主要为IgG, 持续时间长,亲和力低,初次体液免疫应答会产生抗体的特点是亲和力低吗？回答'是'或者'不是'即可。,初次体液免疫应答产生抗体的特点是什么？回答一句话即可。,请选择一个正确选项。初次体液免疫应答产生抗体的特点是：A 滴度高 ，B  主要为IgG ，C  持续时间长，D 亲和力低。只能选择一个选项，禁止解释。,请选择一个正确选项。初次体液免疫应答产生抗体的特点是：A 滴度高 ，B  主要为IgG ，C 亲和力低。只能选择一个选项，禁止解释。,请选择一个正确选项。初次体液免疫应答产生抗体的特点是：A 滴度高 ，B 亲和力低。只能选择一个选项，禁止解释。
孕36周出生，体重3200g被称为,早产儿,"['低出生体重儿', '极低出生体重儿', '巨大儿']",低出生体重儿, 极低出生体重儿, 巨大儿,早产儿,孕36周出生，体重3200g被称为早产儿吗？回答'是'或者'不是'即可。,孕36周出生，体重3200g被称为什么？回答一句话即可。,请选择一个正确选项。孕36周出生，体重3200g被称为：A 低出生体重儿 ，B  极低出生体重儿 ，C  巨大儿，D 早产儿。只能选择一个选项，禁止解释。,请选择一个正确选项。孕36周出生，体重3200g被称为：A 低出生体重儿 ，B  极低出生体重儿 ，C 早产儿。只能选择一个选项，禁止解释。,请选择一个正确选项。孕36周出生，体重3200g被称为：A 低出生体重儿 ，B 早产儿。只能选择一个选项，禁止解释。
急性乳腺炎的最主要的病因是,乳汁淤积,"['初产妇母乳喂养', '缺乏哺乳经验', '断乳时']",初产妇母乳喂养, 缺乏哺乳经验, 断乳时,乳汁淤积,急性乳腺炎的最主要的病因是乳汁淤积吗？回答'是'或者'不是'即可。,急性乳腺炎的最主要的病因是什么？回答一句话即可。,请选择一个正确选项。急性乳腺炎的最主要的病因是：A 初产妇母乳喂养 ，B  缺乏哺乳经验 ，C  断乳时，D 乳汁淤积。只能选择一个选项，禁止解释。,请选择一个正确选项。急性乳腺炎的最主要的病因是：A 初产妇母乳喂养 ，B  缺乏哺乳经验 ，C 乳汁淤积。只能选择一个选项，禁止解释。,请选择一个正确选项。急性乳腺炎的最主要的病因是：A 初产妇母乳喂养 ，B 乳汁淤积。只能选择一个选项，禁止解释。
确诊新生儿败血症最有意义的检查是,血培养,"['免疫功能检查', '分泌物涂片革兰染色', '血CRP']",免疫功能检查, 分泌物涂片革兰染色, 血CRP,血培养,确诊新生儿败血症最有意义的检查是血培养吗？回答'是'或者'不是'即可。,确诊新生儿败血症最有意义的检查是什么？回答一句话即可。,请选择一个正确选项。确诊新生儿败血症最有意义的检查是：A 免疫功能检查 ，B  分泌物涂片革兰染色 ，C  血CRP，D 血培养。只能选择一个选项，禁止解释。,请选择一个正确选项。确诊新生儿败血症最有意义的检查是：A 免疫功能检查 ，B  分泌物涂片革兰染色 ，C 血培养。只能选择一个选项，禁止解释。,请选择一个正确选项。确诊新生儿败血症最有意义的检查是：A 免疫功能检查 ，B 血培养。只能选择一个选项，禁止解释。
二次免疫应答时产生抗体的特点是,维持时间长,"['以IgM为主', 'IgG与IgM同时发生', '浓度增加缓慢']",以IgM为主, IgG与IgM同时发生, 浓度增加缓慢,维持时间长,二次免疫应答时产生抗体的特点是维持时间长吗？回答'是'或者'不是'即可。,二次免疫应答时产生抗体的特点是什么？回答一句话即可。,请选择一个正确选项。二次免疫应答时产生抗体的特点是：A 以IgM为主 ，B  IgG与IgM同时发生 ，C  浓度增加缓慢，D 维持时间长。只能选择一个选项，禁止解释。,请选择一个正确选项。二次免疫应答时产生抗体的特点是：A 以IgM为主 ，B  IgG与IgM同时发生 ，C 维持时间长。只能选择一个选项，禁止解释。,请选择一个正确选项。二次免疫应答时产生抗体的特点是：A 以IgM为主 ，B 维持时间长。只能选择一个选项，禁止解释。
外阴阴道假丝酵母菌病最主要传染途径是,内源性传染,"['性交传染', '血行传染', '间接传染']",性交传染, 血行传染, 间接传染,内源性传染,外阴阴道假丝酵母菌病最主要传染途径是内源性传染吗？回答'是'或者'不是'即可。,外阴阴道假丝酵母菌病最主要传染途径是什么？回答一句话即可。,请选择一个正确选项。外阴阴道假丝酵母菌病最主要传染途径是：A 性交传染 ，B  血行传染 ，C  间接传染，D 内源性传染。只能选择一个选项，禁止解释。,请选择一个正确选项。外阴阴道假丝酵母菌病最主要传染途径是：A 性交传染 ，B  血行传染 ，C 内源性传染。只能选择一个选项，禁止解释。,请选择一个正确选项。外阴阴道假丝酵母菌病最主要传染途径是：A 性交传染 ，B 内源性传染。只能选择一个选项，禁止解释。
不符合细菌性阴道病的是,碱性冲洗液阴道冲洗,"['阴道分泌物呈鱼腥味改变，性交后加重', '线索细胞阳性', '首选甲硝唑、克林霉素等治疗']",阴道分泌物呈鱼腥味改变，性交后加重, 线索细胞阳性, 首选甲硝唑、克林霉素等治疗,碱性冲洗液阴道冲洗,符合细菌性阴道病的是碱性冲洗液阴道冲洗吗？回答'是'或者'不是'即可。,不符合细菌性阴道病的是什么？回答一句话即可。,请选择一个正确选项。不符合细菌性阴道病的是：A 阴道分泌物呈鱼腥味改变，性交后加重 ，B  线索细胞阳性 ，C  首选甲硝唑、克林霉素等治疗，D 碱性冲洗液阴道冲洗。只能选择一个选项，禁止解释。,请选择一个正确选项。不符合细菌性阴道病的是：A 阴道分泌物呈鱼腥味改变，性交后加重 ，B  线索细胞阳性 ，C 碱性冲洗液阴道冲洗。只能选择一个选项，禁止解释。,请选择一个正确选项。不符合细菌性阴道病的是：A 阴道分泌物呈鱼腥味改变，性交后加重 ，B 碱性冲洗液阴道冲洗。只能选择一个选项，禁止解释。
12个月婴儿平均体重是,9kg,"['3kg', '6kg', '15kg']",3kg, 6kg, 15kg,9kg,12个月婴儿平均体重是9kg吗？回答'是'或者'不是'即可。,12个月婴儿平均体重是什么？回答一句话即可。,请选择一个正确选项。12个月婴儿平均体重是：A 3kg ，B  6kg ，C  15kg，D 9kg。只能选择一个选项，禁止解释。,请选择一个正确选项。12个月婴儿平均体重是：A 3kg ，B  6kg ，C 9kg。只能选择一个选项，禁止解释。,请选择一个正确选项。12个月婴儿平均体重是：A 3kg ，B 9kg。只能选择一个选项，禁止解释。
早产临产后应慎用的药物是,哌替啶（度冷丁）,"['利托君（羟苄羟麻黄碱）', '沙丁胺醇（舒喘灵）', '地塞米松']",利托君（羟苄羟麻黄碱）, 沙丁胺醇（舒喘灵）, 地塞米松,哌替啶（度冷丁）,早产临产后应慎用的药物是哌替啶(度冷丁)吗？回答'是'或者'不是'即可。,早产临产后应慎用的药物是什么？回答一句话即可。,请选择一个正确选项。早产临产后应慎用的药物是：A 利托君（羟苄羟麻黄碱） ，B  沙丁胺醇（舒喘灵） ，C  地塞米松，D 哌替啶（度冷丁）。只能选择一个选项，禁止解释。,请选择一个正确选项。早产临产后应慎用的药物是：A 利托君（羟苄羟麻黄碱） ，B  沙丁胺醇（舒喘灵） ，C 哌替啶（度冷丁）。只能选择一个选项，禁止解释。,请选择一个正确选项。早产临产后应慎用的药物是：A 利托君（羟苄羟麻黄碱） ，B 哌替啶（度冷丁）。只能选择一个选项，禁止解释。
